tempo_minuti,profondita_metri
0,3.32
1,4.53
2,6.1
3,9.21
4,10.99
5,15.95
6,19.99
7,20.96
8,23.86
9,26.01
10,28.03
11,29.51
12,29.92
13,27.68
14,29.42
15,30.81
16,31.35
17,30.24
18,29.44
19,29.3
20,30.14
21,29.68
22,28.79
23,29.08
24,29.37
25,28.67
26,27.85
27,27.19
28,26.49
29,25.76
30,24.62
31,23.01
32,21.47
33,21.08
34,22.39
35,23.55
36,23.05
37,21.0
38,18.84
39,17.93
40,16.87
41,14.25
42,11.46
43,9.66
44,9.76
45,9.7
46,9.83
47,8.61
48,5.46
49,5.85
50,6.58
51,6.98
52,7.33
53,6.81
54,6.44
55,5.99
56,5.4
57,4.42
58,3.11
59,1.29
