Lat,Lng,Elev
45.772345,13.627529,58.82847
45.772299,13.627498,59.0747
45.772276,13.627479,59.15029
45.772263,13.627438,59.14716
45.772229,13.627379,59.20837
45.772203,13.627364,59.34472
45.772144,13.627356,59.91369
45.772065,13.627216,61.11106
45.772058,13.627181,61.33529
45.772039,13.627157,61.13698
45.772043,13.627024,62.16954
45.772035,13.626987,62.2822
45.772003,13.626923,62.45671
45.771977,13.626911,62.36506
45.771955,13.626884,62.50751
45.771924,13.626877,62.25384
45.77187,13.626824,62.19782
45.771852,13.626777,62.53143
45.771819,13.626727,62.72273
45.771786,13.626619,63.72673
45.771779,13.62658,64.08309
45.77173,13.626436,63.96976
45.771707,13.626364,63.56614
45.771683,13.626339,63.50325
45.771585,13.626169,64.39889
45.771567,13.626133,63.86254
45.77155,13.626041,62.7519
45.771553,13.626005,62.96891
45.771553,13.62581,63.04408
45.771542,13.625755,62.99982
45.771493,13.625624,63.92277
45.771453,13.625575,64.28904
45.771405,13.625409,64.17043
45.771355,13.625291,63.98046
45.771348,13.625251,64.58445
45.771264,13.625082,64.65481
45.771228,13.625026,63.83472
45.771184,13.624986,64.07221
45.771096,13.624811,64.72377
45.771055,13.624747,63.88042
45.771041,13.62471,64.26506
45.770997,13.624607,65.6036
45.770989,13.62456,65.63339
45.770972,13.624495,65.49921
45.770953,13.624453,65.37976
45.770938,13.624405,65.1484
45.770943,13.624288,65.13776
45.770934,13.624209,64.75433
45.77087,13.624033,63.63511
45.770826,13.62393,64.52742
45.770783,13.62386,63.67067
45.770696,13.623641,61.1596
45.770677,13.62357,62.1086
45.770635,13.623469,62.9665
45.770516,13.623345,65.09212
45.770432,13.623195,64.19034
45.770423,13.623122,63.86524
45.770351,13.622961,64.45413
45.770323,13.622849,66.13859
45.770303,13.622821,66.30663
45.770292,13.62279,66.25765
45.770262,13.622726,65.2388
45.770252,13.622685,64.88162
45.770223,13.622644,64.45024
45.770213,13.622607,65.22376
45.770204,13.622569,66.25248
45.7702,13.622529,67.202
45.770189,13.622497,68.0534
45.770167,13.622466,68.9624
45.770136,13.622408,69.40992
45.770084,13.622385,65.61706
45.770027,13.622311,55.97337
45.770011,13.622271,54.56445
45.770003,13.622234,55.70228
45.769999,13.622098,66.23541
45.769994,13.622019,69.9289
45.769978,13.621932,71.3175
45.769942,13.621835,71.26316
45.769963,13.621767,72.39199
45.770035,13.621635,74.42912
45.770035,13.621589,75.05458
45.770044,13.621557,75.47932
45.770066,13.621518,75.90903
45.770051,13.621473,76.59987
45.770053,13.62144,77.03919
45.770072,13.621376,77.72969
45.770068,13.621303,78.75103
45.770108,13.621207,79.26415
45.770103,13.621029,81.43398
45.770077,13.620997,82.62455
45.770001,13.620822,84.25411
45.770006,13.62078,84.65879
45.770004,13.620728,84.99144
45.770025,13.620686,86.17604
45.770084,13.620586,86.68286
45.770117,13.620575,85.96839
45.770129,13.620537,85.50974
45.770833,13.621078,72.4378
45.770174,13.620595,84.96465
45.770144,13.620579,85.40914
45.770118,13.62055,85.82913
45.770134,13.620492,84.69416
45.770148,13.620467,84.12903
45.770195,13.620434,83.92359
45.770228,13.620364,83.15286
45.770246,13.620291,82.23324
45.770271,13.620221,81.37855
45.770274,13.620172,80.3171
45.770284,13.620141,79.90786
45.770303,13.620085,79.26581
45.770338,13.620037,79.53216
45.770345,13.620003,78.7905
45.770372,13.619977,78.88871
45.770401,13.619983,79.79251
45.770424,13.619979,79.94818
45.77045,13.619955,79.51784
45.770487,13.619896,78.7525
45.77051,13.619888,78.9804
45.770552,13.619836,79.33774
45.770588,13.619773,79.7265
45.770643,13.619688,79.75301
45.770661,13.619648,79.70118
45.770687,13.61962,79.32148
45.770718,13.6196,78.77039
45.770773,13.619502,78.50852
45.770814,13.619395,78.48976
45.770827,13.619356,78.49978
45.770835,13.619219,79.22656
45.770855,13.619099,79.61599
45.770857,13.618986,80.27879
45.770857,13.618904,80.83102
45.770866,13.618865,80.76065
45.770861,13.618833,81.09511
45.770871,13.618725,81.17437
45.770863,13.618677,81.74568
45.770861,13.618635,81.9177
45.770852,13.618595,82.06375
45.770869,13.618526,80.57128
45.770877,13.618486,79.38874
45.770878,13.61845,78.28421
45.77089,13.61841,76.88151
45.770968,13.618246,74.67122
45.770991,13.618222,75.56025
45.771052,13.618084,76.36086
45.771085,13.618018,75.36917
45.771103,13.617951,73.39975
45.771157,13.617856,74.0453
45.771212,13.617724,75.36194
45.771268,13.617574,74.25486
45.771291,13.617475,73.47256
45.771291,13.617439,73.2942
45.771308,13.617406,73.27194
45.771327,13.617326,73.00128
45.771343,13.617248,72.31994
45.771411,13.617183,73.63204
45.771459,13.617173,74.39191
45.771512,13.617018,73.97395
45.771545,13.616888,73.51003
45.771546,13.61684,73.09506
45.771566,13.616809,73.89997
45.771608,13.616699,75.16809
45.771611,13.61662,75.30741
45.77162,13.616499,75.55471
45.77166,13.616391,75.9843
45.771677,13.616279,75.71171
45.771708,13.616169,74.93742
45.771742,13.616095,74.59956
45.771773,13.616027,74.66038
45.771794,13.615942,74.81545
45.771793,13.61591,74.74814
45.771806,13.615793,74.85202
45.771827,13.615698,75.15114
45.771854,13.615529,75.29264
